ticker,t_date,h,Pt,atm_iv,em,asof_date,expiration,strike,underlying_close,logret_1d,logret_5d,logret_21d,vol_10d,vol_21d,sma5_minus_20,vol_z,RM
AAPL,2023-10-05,1,174.91000366210938,0.2605327015721593,0.0164120175418985,2023-10-05,2023-10-13,175.0,174.91000366210938,,,,,,,,0.01464272339332305
AAPL,2023-10-05,5,174.91000366210938,0.2605327015721593,0.0366983868716042,2023-10-05,2023-10-13,175.0,174.91000366210938,,,,,,,,0.03262199670670887
AAPL,2023-10-05,21,174.91000366210938,0.2605327015721593,0.0752093126926932,2023-10-05,2023-10-13,175.0,174.91000366210938,,,,,,,,0.009898762397613892
AAPL,2023-10-06,1,177.49000549316406,0.2355296939595885,0.0148369761092434,2023-10-06,2023-10-13,177.0,177.49000549316406,0.014642723393322399,,,,,,,0.008415668798788524
AAPL,2023-10-06,5,177.49000549316406,0.2355296939595885,0.0331764871608086,2023-10-06,2023-10-13,177.0,177.49000549316406,0.014642723393322399,,,,,,,0.007633199582074867
AAPL,2023-10-06,21,177.49000549316406,0.2355296939595885,0.0679915661048592,2023-10-06,2023-10-13,177.0,177.49000549316406,0.014642723393322399,,,,,,,0.009755573156237074
AAPL,2023-10-09,1,178.99000549316406,0.2541848301332123,0.0160121392280399,2023-10-09,2023-10-20,179.0,178.99000549316406,0.008415668798789078,,,,,,,0.003357807706458779
AAPL,2023-10-09,5,178.99000549316406,0.2541848301332123,0.0358042317790882,2023-10-09,2023-10-20,179.0,178.99000549316406,0.008415668798789078,,,,,,,0.0015096268970447577
AAPL,2023-10-09,21,178.99000549316406,0.2541848301332123,0.0733768400506647,2023-10-09,2023-10-20,179.0,178.99000549316406,0.008415668798789078,,,,,,,0.01568725792832163
AAPL,2023-10-10,1,178.38999938964844,0.2637896692784106,0.0166171872223488,2023-10-10,2023-10-20,178.0,178.38999938964844,-0.003357807706459326,,,,,,,0.007872977668857532
AAPL,2023-10-10,5,178.38999938964844,0.2637896692784106,0.0371571602240128,2023-10-10,2023-10-20,178.0,178.38999938964844,-0.003357807706459326,,,,,,,0.0069753644841917565
AAPL,2023-10-10,21,178.38999938964844,0.2637896692784106,0.0761495182836663,2023-10-10,2023-10-20,178.0,178.38999938964844,-0.003357807706459326,,,,,,,0.024912714537492636
AAPL,2023-10-11,1,179.8000030517578,0.2637896692784106,0.0166171872223488,2023-10-10,2023-10-20,178.0,178.38999938964844,0.00787297766885775,,,,,,,0.005048434552198421
AAPL,2023-10-11,5,179.8000030517578,0.2637896692784106,0.0371571602240128,2023-10-10,2023-10-20,178.0,178.38999938964844,0.00787297766885775,,,,,,,0.022270669181650427
AAPL,2023-10-11,21,179.8000030517578,0.2637896692784106,0.0761495182836663,2023-10-10,2023-10-20,178.0,178.38999938964844,0.00787297766885775,,,,,,,0.014411781764487302
AAPL,2023-10-12,1,180.7100067138672,0.2637896692784106,0.0166171872223488,2023-10-10,2023-10-20,178.0,178.38999938964844,0.005048434552199055,0.032621996706708956,,,,,,0.010346073731310877
AAPL,2023-10-12,5,180.7100067138672,0.2637896692784106,0.0371571602240128,2023-10-10,2023-10-20,178.0,178.38999938964844,0.005048434552199055,0.032621996706708956,,,,,,0.02948243859817551
AAPL,2023-10-12,21,180.7100067138672,0.2637896692784106,0.0761495182836663,2023-10-10,2023-10-20,178.0,178.38999938964844,0.005048434552199055,0.032621996706708956,,,,,,0.031001295944520526
AAPL,2023-10-13,1,178.85000610351562,0.2637896692784106,0.0166171872223488,2023-10-10,2023-10-20,178.0,178.38999938964844,-0.010346073731311023,0.007633199582075534,,,,,,0.0007271576803311256
AAPL,2023-10-13,5,178.85000610351562,0.2637896692784106,0.0371571602240128,2023-10-10,2023-10-20,178.0,178.38999938964844,-0.010346073731311023,0.007633199582075534,,,,,,0.03394975938890541
AAPL,2023-10-13,21,178.85000610351562,0.2637896692784106,0.0761495182836663,2023-10-10,2023-10-20,178.0,178.38999938964844,-0.010346073731311023,0.007633199582075534,,,,,,0.032726675889948216
AAPL,2023-10-16,1,178.72000122070312,0.2673116225112169,0.0168390494219489,2023-10-16,2023-10-27,179.0,178.72000122070312,-0.0007271576803313806,-0.0015096268970449245,,,,,,0.008823545293605795
AAPL,2023-10-16,5,178.72000122070312,0.2673116225112169,0.0376532591839563,2023-10-16,2023-10-27,179.0,178.72000122070312,-0.0007271576803313806,-0.0015096268970449245,,,,,,0.032528747653366316
AAPL,2023-10-16,21,178.72000122070312,0.2673116225112169,0.0771662186071833,2023-10-16,2023-10-27,179.0,178.72000122070312,-0.0007271576803313806,-0.0015096268970449245,,,,,,0.04763846507339628
AAPL,2023-10-17,1,177.14999389648438,0.2186429175889624,0.0137732091872853,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.008823545293605406,-0.0069753644841910045,,,,,,0.007422327028601251
AAPL,2023-10-17,5,177.14999389648438,0.2186429175889624,0.0307978320110946,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.008823545293605406,-0.0069753644841910045,,,,,,0.02116506452988458
AAPL,2023-10-17,21,177.14999389648438,0.2186429175889624,0.0631167736631963,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.008823545293605406,-0.0069753644841910045,,,,,,0.05949832682975004
AAPL,2023-10-18,1,175.83999633789062,0.2186429175889624,0.0137732091872853,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.007422327028601572,-0.022270669181650327,,,,,,0.0021633348643265698
AAPL,2023-10-18,5,175.83999633789062,0.2186429175889624,0.0307978320110946,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.007422327028601572,-0.022270669181650327,,,,,,0.02732625325857832
AAPL,2023-10-18,21,175.83999633789062,0.2186429175889624,0.0631167736631963,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.007422327028601572,-0.022270669181650327,,,,,,0.07592215592567475
AAPL,2023-10-19,1,175.4600067138672,0.2186429175889624,0.0137732091872853,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.002163334864326849,-0.02948243859817623,,0.13262456445711485,,,,0.01481339452204075
AAPL,2023-10-19,5,175.4600067138672,0.2186429175889624,0.0307978320110946,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.002163334864326849,-0.02948243859817623,,0.13262456445711485,,,,0.05007622586650894
AAPL,2023-10-19,21,175.4600067138672,0.2186429175889624,0.0631167736631963,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.002163334864326849,-0.02948243859817623,,0.13262456445711485,,,,0.07798003864452556
AAPL,2023-10-20,1,172.8800048828125,0.2186429175889624,0.0137732091872853,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.014813394522040113,-0.03394975938890532,,0.12577148786813228,,,,0.0006938540552079055
AAPL,2023-10-20,5,172.8800048828125,0.2186429175889624,0.0307978320110946,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.014813394522040113,-0.03394975938890532,,0.12577148786813228,,,,0.027325086651692403
AAPL,2023-10-20,21,172.8800048828125,0.2186429175889624,0.0631167736631963,2023-10-17,2023-10-27,177.0,177.14999389648438,-0.014813394522040113,-0.03394975938890532,,0.12577148786813228,,,,0.10202892154049836
AAPL,2023-10-23,1,173.0,0.2518117988353564,0.0158626523073851,2023-10-23,2023-11-03,173.0,173.0,0.0006938540552079431,-0.032528747653366,,0.11199978070686965,,,,0.002540137829876088
AAPL,2023-10-23,5,173.0,0.2518117988353564,0.0354699688627571,2023-10-23,2023-11-03,173.0,173.0,0.0006938540552079431,-0.032528747653366,,0.11199978070686965,,,,0.015788767885346652
AAPL,2023-10-23,21,173.0,0.2518117988353564,0.0726918049213584,2023-10-23,2023-11-03,173.0,173.0,0.0006938540552079431,-0.032528747653366,,0.11199978070686965,,,,0.09709523509111548
AAPL,2023-10-24,1,173.44000244140625,0.2920559534503675,0.0183977957558459,2023-10-24,2023-11-03,173.0,173.44000244140625,0.0025401378298752775,-0.021165064529885314,,0.11591270423317056,,,,0.013583515757294929
